id,year,field of study,degree,gpa,aid,name,grad
1,2010,Basket Weaving,Minor,3.135035137,1,"Koren, Logan",Grad
2,2010,Basket Weaving,BA,3.095204521,0,"Arndt, Andrew",UG
3,2010,Basket Weaving,BA,3.006215706,1,"Allen, Joshua",UG
4,2010,Basket Weaving,BA,2.957733228,0,"Barrera, David",UG
5,2010,Basket Weaving,Doctoral,2.972574982,0,"Rosa, Mark",Grad
6,2010,Data Analytics,Doctoral,2.583632142,0,"Hansen, Jesse",Grad
7,2010,Basket Weaving,BA,2.989815721,0,"Franklin, Mustafa",UG
8,2010,Basket Weaving,Minor,3.064919416,1,"Kurtz, Dustin",Grad
9,2010,Rug Weaving,BA,2.56878507,0,"Clark, Clayton",UG
10,2010,Basket Weaving,Masters,3.077532243,1,"Sheafe, Rajeev",Grad
11,2010,Rug Weaving,BA,3.08124588,1,"Strickler, Corrigan",UG
12,2010,Basket Weaving,BA,2.847661908,1,"Paris, Harrison",UG
13,2010,Container Design,BA,2.926372521,1,"Dotson, Dennis",UG
14,2010,Rug Weaving,BA,2.682230217,0,"Lara, Damian",UG
15,2010,Data Analytics,BA,2.911092295,0,"Mckenzie, Jason",UG
16,2010,Basket Weaving,BA,2.758996457,0,"Jolly, Ryan",UG
17,2010,Basket Weaving,BA,2.943913507,1,"Kaskie, Joshua",UG
18,2010,Rug Weaving,BA,2.8743455,0,"Williams, Malik",UG
19,2010,Basket Weaving,BA,3.164551664,0,"Sheff, Connor",UG
20,2010,Rug Weaving,BA,2.970483877,0,"Salazar, Dominik",UG
21,2010,Container Design,BA,2.800385669,0,"Craft-Sanders, Jamil",UG
22,2010,Container Design,Minor,3.084615944,0,"Townsend, Jacob",Grad
23,2010,Container Design,BA,2.797527631,0,"Mendez, Julian",UG
24,2010,Container Design,BA,2.803813178,1,"Lyons, Bryce",UG
25,2010,Data Analytics,BA,2.606902597,0,"Gonzalez, Michael",UG
26,2010,Rug Weaving,Masters,3.033556499,1,"Robles, Francisco",Grad
27,2010,Basket Weaving,BA,2.765559102,1,"Lomeli-Contreras, Holden",UG
28,2010,Container Design,BA,2.884149816,0,"Babcock, Tanner",UG
29,2010,Container Design,BA,3.107559968,0,"Lew, Kevin",UG
30,2010,Basket Weaving,BA,2.843716548,0,"James, Jacob",UG
31,2010,Basket Weaving,Masters,3.30995285,0,"Vongrith, Joshua",Grad
32,2010,Data Analytics,Doctoral,3.205575475,1,"Teske, Blake",Grad
33,2010,Data Analytics,Doctoral,2.769423089,1,"Salazar-Bennett, Roberto",Grad
34,2010,Basket Weaving,BA,3.119111165,1,"Noah, Tevin",UG
35,2010,Basket Weaving,BA,3.216324066,0,"Phonthongsy, Seth-Mitchell",UG
36,2010,Rug Weaving,BA,2.718067419,1,"Fong, Abon",UG
37,2010,Container Design,Masters,3.159969612,1,"Dumlao, Neil",Grad
38,2010,Basket Weaving,Minor,2.939994782,1,"Leyba, Alejandro",Grad
39,2010,Basket Weaving,BA,2.676096694,1,"Harris, Peter",UG
40,2010,Rug Weaving,BA,3.009946795,0,"Sherap, Paul",UG
41,2010,Basket Weaving,BA,2.873396032,0,"Mccracken, Devin",UG
42,2010,Container Design,Minor,2.817502277,0,"Wong, Chinguun",Grad
43,2010,Basket Weaving,BA,2.921329836,0,"Gumataotao, Tai",UG
44,2010,Container Design,BA,3.240260018,0,"Gandomcar, Zachary",UG
45,2010,Rug Weaving,BA,3.158536298,0,"Mcgee, Jalen",UG
46,2010,Container Design,Masters,2.889446987,0,"Herbst, Jahangeer",Grad
47,2010,Basket Weaving,BA,3.071106305,1,"Kelly, Andrew",UG
48,2010,Basket Weaving,BA,2.949372198,0,"Skinner, Ryan",UG
49,2010,Rug Weaving,BA,3.1689898,0,"Stellick Mckenzie, Jeffrey",UG
50,2010,Container Design,Masters,2.735473977,0,"Nguyen, Keith",Grad
51,2010,Rug Weaving,BA,3.299072446,1,"Gardunio, Grady",UG
52,2010,Container Design,BA,3.10851815,0,"Rivera, Diego",UG
53,2010,Rug Weaving,Masters,2.688295333,0,"Dinh, Munir",Grad
54,2010,Container Design,Doctoral,3.109039195,0,"Lowe, Zachary",Grad
55,2010,Basket Weaving,Doctoral,3.305515696,1,"Mares, Andrew",Grad
56,2010,Data Analytics,Masters,2.634174877,0,"Morford, Joshua",Grad
57,2010,Basket Weaving,BA,2.89078303,0,"Reynoso-Flores, James",UG
58,2010,Basket Weaving,BA,2.850712021,0,"Agbeke, Marcus",UG
59,2010,Basket Weaving,Masters,2.909445053,0,"Cardenas, Randy",Grad
60,2010,Data Analytics,BA,3.169934152,0,"Henderson, Devante",UG
61,2010,Data Analytics,Masters,3.069833804,0,"Salazar, Keith",Grad
62,2010,Rug Weaving,BA,3.163143213,1,"Krane, Kyle",UG
63,2010,Container Design,Minor,2.862909354,0,"Day, Brenden",Grad
64,2010,Container Design,BA,2.64984029,1,"Callahan, Derek",UG
65,2010,Container Design,BA,3.479488278,1,"Woldu, Storm",UG
66,2010,Rug Weaving,Minor,3.215697942,1,"Harper, Jacob",Grad
67,2010,Basket Weaving,Masters,2.697397987,0,"Ferro, Logan",Grad
68,2010,Rug Weaving,BA,2.823824539,0,"Seamans, Matthew",UG
69,2010,Basket Weaving,Minor,3.143695938,0,"Valencia, Emilio",Grad
70,2010,Basket Weaving,BA,2.992560189,0,"Sullivan, Robert",UG
71,2010,Container Design,BA,3.279563877,1,"Boteo Bustamante, Ricky",UG
72,2010,Rug Weaving,Doctoral,2.982917094,1,"Vang, Emmitt",Grad
73,2010,Data Analytics,BA,3.134511942,0,"Parker, Tristen",UG
74,2010,Data Analytics,BA,2.885831014,1,"Tran, Andrew",UG
75,2010,Container Design,BA,3.169958729,1,"Maes, Juan",UG
76,2010,Basket Weaving,BA,2.869287605,0,"Kamanawa, Tony",UG
77,2010,Container Design,Masters,2.906411583,0,"Spindel, Anthony",Grad
78,2010,Rug Weaving,BA,2.870567008,0,"Waldron, Brandon",UG
79,2010,Container Design,Doctoral,2.871714482,0,"Banks, Shawn",Grad
80,2010,Rug Weaving,BA,3.046619426,1,"Avellani, Tyler",UG
81,2010,Basket Weaving,Masters,3.343065382,0,"Neal, Chadwick",Grad
82,2010,Basket Weaving,BA,3.092306075,0,"Peterson, Dustin",UG
83,2010,Rug Weaving,BA,2.962428732,1,"Dirickson, Seth",UG
84,2010,Container Design,BA,3.100230981,0,"Galarza, Alexander",UG
